,xu,xl,xr,f(xl),f(xu),f(xr),solution
0,3,0.0,1.3333333333333333,-4.0,5,-2.2222222222222223,False
1,3,1.3333333333333333,1.846153846153846,-2.2222222222222223,5,-0.5917159763313613,False
2,3,1.846153846153846,1.9682539682539681,-0.5917159763313613,5,-0.1259763164525074,False
3,3,1.9682539682539681,1.9936102236421727,-0.1259763164525074,5,-0.025518276189406386,False
4,3,1.9936102236421727,1.99872040946897,-0.025518276189406386,5,-0.005116724772193493,False
5,3,1.99872040946897,1.9997440163829514,-0.005116724772193493,5,-0.001023868940582151,False
6,3,1.9997440163829514,1.9999488006553516,-0.001023868940582151,5,-0.00020479475722057217,False
7,3,1.9999488006553516,1.9999897600262142,-0.00020479475722057217,5,-4.095979028617691e-05,False
8,3,1.9999897600262142,1.9999979520010485,-4.095979028617691e-05,5,-8.1919916117279e-06,False
9,3,1.9999979520010485,1.9999995904000418,-8.1919916117279e-06,5,-1.6383996648272614e-06,False
10,3,1.9999995904000418,1.9999999180800017,-1.6383996648272614e-06,5,-3.2767998670024667e-07,False
11,3,1.9999999180800017,1.999999983616,-3.2767998670024667e-07,5,-6.553599929404186e-08,False
12,3,1.999999983616,1.9999999967232,-6.553599929404186e-08,5,-1.310719976999053e-08,True
13,3,1.9999999967232,1.99999999934464,-1.310719976999053e-08,5,-2.621439953998106e-09,True
14,3,1.99999999934464,1.999999999868928,-2.621439953998106e-09,5,-5.242881684353051e-10,True
15,3,1.999999999868928,1.9999999999737856,-5.242881684353051e-10,5,-1.0485745605137708e-10,True
16,3,1.9999999999737856,1.999999999994757,-1.0485745605137708e-10,5,-2.0971668845959357e-11,True
17,3,1.999999999994757,1.9999999999989515,-2.0971668845959357e-11,5,-4.193978497823991e-12,True
18,3,1.9999999999989515,1.9999999999997904,-4.193978497823991e-12,5,-8.384404281969182e-13,True
19,3,1.9999999999997904,1.999999999999958,-8.384404281969182e-13,5,-1.6786572132332367e-13,True
