,x0,x1,xi,f(x0),f(x1),f(xi)
0,3.0,15.0,15.0,5.0,221.0,221.0
1,15.0,-45.0,-45.0,221.0,2021.0,2021.0
2,-45.0,13215.0,13215.0,2021.0,174636221.0,174636221.0
3,13215.0,-26785245.0,-26785245.0,174636221.0,717449349710021.0,717449349710021.0
4,-26785245.0,4679981756234415.0,4679981756234415.0,717449349710021.0,2.190222923868696e+31,2.190222923868696e+31
5,4679981756234415.0,-3.357649886882195e+30,-3.357649886882195e+30,2.190222923868696e+31,1.1273812762880016e+61,1.1273812762880016e+61
6,-3.357649886882195e+30,7.354001752574528e+61,7.354001752574528e+61,1.1273812762880016e+61,5.408134177686922e+123,5.408134177686922e+123
7,7.354001752574528e+61,-8.290763881641673e+122,-8.290763881641673e+122,5.408134177686922e+123,6.873676574113408e+245,6.873676574113408e+245
8,-8.290763881641673e+122,4.483756350743862e+246,4.483756350743862e+246,6.873676574113408e+245,inf,inf
9,4.483756350743862e+246,-inf,-inf,inf,inf,inf
10,-inf,inf,inf,inf,inf,inf
11,inf,-inf,-inf,inf,inf,inf
12,-inf,inf,inf,inf,inf,inf
13,inf,,,inf,,
